"Reg.Metropolit/RIDE de notific";"Ign/Branco";"Analfabeto";"1 a 4 serie incompleta do EF";"4 serie completa do EF";"5 a 8 serie incompleta do EF";"Ensino fundamental completo";"Ensino medio incompleto";"Ensino medio completo";"Educacao superior incompleta";"Educacao superior completa";"Nao se aplica";"Total"
"35010 Sao Paulo - SP";15201;151;1307;774;2448;1523;2812;7908;1061;2052;1625;36862
"35020 Baixada Santista - SP";1751;10;163;115;418;204;355;1037;106;224;399;4782
"35030 Campinas - SP";35260;75;812;394;1067;697;1029;3321;461;796;2458;46370
"35041 V.Paraiba/Lit Nort 1 -SP";988;3;43;53;95;60;149;483;54;129;166;2223
"35042 V.Paraiba/Lit Nort 2 -SP";143;1;22;18;44;33;69;176;33;84;47;670
"35043 V.Paraiba/Lit Nort 3 -SP";2190;5;100;88;233;110;254;645;57;102;236;4020
"35044 V.Paraiba/Lit Nort 4 -SP";308;2;19;13;20;26;30;93;8;24;41;584
"35045 V.Paraiba/Lit Nort 5 -SP";4331;19;154;97;251;113;252;816;83;219;656;6991
"35050 Jundiai - SP";3762;5;25;11;32;35;56;174;15;40;192;4347
"35060 Piracicaba - SP";5507;63;476;389;728;502;634;2016;232;761;488;11796
"35070 Sorocaba - SP";1103;3;67;41;174;75;122;510;56;145;119;2415
"35900 Fora de Reg.Metrop. - SP";116409;1777;15692;10291;25046;14762;23708;69731;7843;20984;15496;321739
"Total";186953;2114;18880;12284;30556;18140;29470;86910;10009;25560;21923;442799

 
